"Año","Mes","Empresa","Circuito","Tipo Indicador","DPIR","FPI","FMIK","TTIK","FIM","FIP","FIT","DAI","FI","Abonados Por Circuito"
"2022","Diciembre ","ICE","CAHUITA-BRIBRI","2","13.299999999999999","7.13","","","","","1","","1","7972"
"2022","Diciembre ","ICE","CAHUITA-BRIBRI","1","13.299999999999999","7.13","","","2","","1","","3","7972"
"2022","Diciembre ","ICE","CACHI-POSTE 70","3","0.33000000000000007","0.18000000000000002","","","","","","","","3321"
"2022","Diciembre ","ICE","CACHI-POSTE 70","2","1.1800000000000002","0.61","","","","","","","","3321"
"2022","Diciembre ","ICE","CACHI-POSTE 70","1","1.1800000000000002","0.61","","","","","","","","3321"
"2022","Diciembre ","ICE","CACHI-PEJIVAYE","3","0.92","0.33000000000000007","","","","","","","","3190"
"2022","Diciembre ","ICE","CACHI-PEJIVAYE","2","10.709999999999999","4.1899999999999995","","","","1","","1.28","1","3190"
"2022","Diciembre ","ICE","CACHI-PEJIVAYE","1","10.799999999999999","5.1899999999999995","","","1","2","","1.3800000000000001","3","3190"
"2022","Diciembre ","ICE","CACHI-JUAN VIÑAS","3","9.14","1.8200000000000003","","","","","","","","2653"
"2022","Diciembre ","ICE","CACHI-JUAN VIÑAS","2","9.379999999999999","1.9300000000000002","","","","","","","","2653"
"2022","Diciembre ","ICE","CACHI-JUAN VIÑAS","1","9.5","2.93","","","","1","","0.12","1","2653"
"2022","Diciembre ","ICE","BELEN-SARET","3","0.6200000000000001","0.55","","","","","","","","602"
"2022","Diciembre ","ICE","BELEN-SARET","2","2.7","0.77","","","","","","","","602"
"2022","Diciembre ","ICE","BELEN-SARET","1","2.7","0.77","","","","","","","","602"
"2022","Diciembre ","ICE","CAÑAS-LA VIRGEN","1","7.25","4.56","","","1","2","1","4.77","4","61"
"2022","Diciembre ","ICE","CAÑAS-LA VIRGEN","2","7.25","4.56","","","","2","1","4.77","3","61"
"2022","Diciembre ","ICE","CAÑAS-LA VIRGEN","3","2.3300000000000005","2.9399999999999995","","","","1","1","0.7","2","61"
"2022","Diciembre ","ICE","CAÑAS-URBANO","1","3.27","4.279999999999999","","","1","","","","1","8099"
"2022","Diciembre ","ICE","CONCAVAS-LA LUCHA","2","0.23","0.18999999999999997","","","","","","","","46"
"2022","Diciembre ","ICE","CONCAVAS-LA LUCHA","1","0.23","0.18999999999999997","","","","","","","","46"
"2022","Diciembre ","ICE","COCO-TROPICANA","3","0.16999999999999998","0.41000000000000003","","","","","","","","8415"
"2022","Diciembre ","ICE","COCO-TROPICANA","2","17.03","1.1","","","","","","","","8415"
"2022","Diciembre ","ICE","COCO-TROPICANA","1","17.03","1.1","","","","","","","","8415"
"2022","Diciembre ","ICE","COCO-RECOPE","3","0.79","1","","","","","","","","148"
"2022","Diciembre ","ICE","COCO-RECOPE","2","0.99","1.1400000000000001","","","","","","","","148"
"2022","Diciembre ","ICE","COCO-RECOPE","1","0.99","1.1400000000000001","","","","","","","","148"
"2022","Diciembre ","ICE","COCO-MARAVILLA","3","0.47","0.49999999999999994","","","","","","","","9514"
"2022","Diciembre ","ICE","COCO-MARAVILLA","2","2.96","1.74","","","","","","","","9514"
"2022","Diciembre ","ICE","COCO-MARAVILLA","1","2.96","1.74","","","","","","","","9514"
"2022","Diciembre ","ICE","COCO-INDUSTRIAS","3","0.45","0.91","","","","","","","","340"
"2022","Diciembre ","ICE","COCO-INDUSTRIAS","2","0.45","0.91","","","","","","","","340"
