Empresa,Circuito,Abonados,DPIR,FPI
ICE,PALMAR-PALMAR SUR,0.2829695591153269,0.32822928936003143,0.6404833836858006
ICE,PARRITA-JACO,0.1044862798238397,0.3048684727129957,0.501007049345418
ICE,MIRAVALLES-GUATUSO,0.594661956153511,0.2968197879858658,0.3353474320241693
ICE,JACO ESTERILLOS,0.00929197115617287,0.2960345504515116,0.009063444108761365
ICE,PAILAS-CURUBANDE,0.1969704302376228,0.2932862190812721,0.14753272910372606
ICE,RIO CLARO-GOLFITO,0.41262159415380145,0.28759324695720456,0.3761329305135952
ICE,PARRITA-SAVEGRE,0.38895610511542367,0.27797408716136635,0.568982880161128
ICE,LEESVILLE-PIÑERAS,0.35595024923776797,0.26580290537887713,0.23464249748237664
ICE,GARITA-JUNQUILLO,0.25245608091758215,0.25795053003533575,0.1465256797583082
ICE,ARENAL-SANGREGADO,0.20277791221023084,0.23930113859442487,0.45317220543806647
ICE,JUANILAMA-HERRADURA,0.1341528335672458,0.22182960345504515,0.24420946626384699
ICE,GARITA-ATENAS,0.02308474084111697,0.22104436592069104,0.4274924471299094
ICE,CAÑAS-GUAYABO,0.13023278323573537,0.2129956811935611,0.17270896273917424
ICE,SANTA RITA-COBANO,0.10092919711561728,0.19395367098547311,0.16263846928499492
ICE,LIBERIA-BAGACES,0.46735711174563227,0.15508441303494308,0.21399798590130925
ICE,MOIN-SIXAOLA,0.21579635096549388,0.15390655673341186,0.18882175226586106
ICE,PALMAR-PUERTO JIMENEZ,0.1132942941489619,0.15155084413034947,0.8101711983887212
ICE,GARABITO-LA IRMA,0.2582877607317427,0.14880251276010992,0.3368580060422961
ICE,SAN ISIDRO-PEJIBAYE,0.5995741179886753,0.14095013741656853,0.20342396777442096
ICE,GARITA-CIRUELAS,0.1046314668731549,0.12053396152336082,0.15961732124874117
ICE,ANGOSTURA-TRES EQUIS,0.14083143783574506,0.11798193953670985,0.028197381671701938
ICE,BARRANCA-FERTICA,0.009533949571698204,0.11641146446800157,0.18227593152064447
ICE,PARRITA-MANUEL ANTONIO,0.13555630837729274,0.11444837063211621,0.27945619335347427
ICE,CAÑAS-BEBEDERO,0.241518656535837,0.11170003926187672,0.21550855991943607
ICE,SAN ISIDRO-BUENOS AIRES,0.5803126361128587,0.11012956419316844,0.007049345417925512
ICE,TRAPICHE - ZENT,0.6681024052654503,0.10247349823321555,0.30463242698892246
ICE,CAHUITA-COSTANERA,0.3416251270386681,0.10168826069886142,0.0392749244712991
ICE,SAN ISIDRO-BUENA VISTA,0.5192856797173692,0.09697683549273656,0.06344410876132933
ICE,MIRAVALLES-LOS CHILES,0.8460775298843343,0.09128386336866903,0.17220543806646527
ICE,LEESVILLE-GUACIMO,0.6286599235348207,0.07754220651747151,0.028197381671701938
ICE,SAN ISIDRO-BUENOS AIRES NUEVO,0.6392585781348303,0.0767569689831174,0.08710976837865053
ICE,RIO CLARO-COTOS,0.16802981174079273,0.06497840596780527,0.052366565961732114
ICE,ANGOSTURA-PERALTA,0.1277162077142719,0.06046329014526894,0.007552870090634434
ICE,NARANJO-ROSARIO,0.141871945022504,0.0369061641146447,0.09617321248741195
ICE,LIBERIA-PEÑAS BLANCAS,0.5661085031215215,0.03631723596387906,0.026686807653575007
ICE,TRAPICHE - SIQUIRRES 1,0.43178628466340796,0.03592461719670201,0.08106747230614303
ICE,LEESVILLE -RIO FRIO,1.0,0.025520219866509625,0.016616314199395743
ICE,MIRAVALLES-GUAYABO,0.24989110971301362,0.019042010208087934,0.1344410876132931
ICE,JACO HERRADURA,0.1550113729855297,0.01727522575579113,0.08962739174219536
ICE,BARRANCA-CALDERA,0.11508493442384939,0.013545347467608965,0.07502517623363547
ICE,BARRANCA-PUNTARENAS 1,0.3430286018487151,0.012171181782489188,0.0619335347432024
ICE,RIO CLARO-SAN VITO,0.6315152688380196,0.0009815469179426661,0.1943605236656596
ICE,POAS-TACARES,0.0683105067028021,0.0,0.060422960725075525
LESCA,MONTERREY,0.10572036974301892,0.2640361209265803,0.07200402819738172
LESCA,SAN ISIDRO,0.29131781445095095,0.18001570475068707,0.0025176233635448297
LESCA,SAN FRANCISCO,0.03378018680733678,0.14585787200628192,0.1178247734138973
LESCA,LA TABLA,0.09703334462565938,0.08539458186101295,0.02215508559919438
LESCA,FORTUNA,0.2695155592121182,0.0795053003533569,0.0
LESCA,SANTA ROSA,0.27563761312490925,0.059874361994503356,0.07804632426988922
SANTOS,MORA,0.1445579054348352,0.2447978013349038,0.579556898288016
SANTOS,LA PAZ,0.056598751391375886,0.13329407145661565,0.13997985901309162
SANTOS,ACOSANTA (2),0.3685331268450854,0.1148409893992933,0.45971802618328295
SANTOS,SAN GERARDO-PROVIDENCIA,0.007767507138363258,0.0712603062426384,0.1470292044310172
SANTOS,DOTA,0.1496636500024198,0.04829210836277975,0.035246727089627394
SANTOS,SAN ANTONIO,0.30048879639936116,0.03769140164899881,0.04128902316213495
SANTOS,RIO CONEJO (9),0.20277791221023084,0.012760109933254798,0.061430010070493424
